station/location,date,gre000d0,hto000d0,nto000d0,prestad0,rre150d0,sre000d0,tre200d0,tre200dn,tre200dx,ure200d0
SMA,20100101,16,0,100,929.7,5.7,0,2.5,-0.9,4.3,94.3
SMA,20100102,53,1,63,950,0,175,-2.5,-4.8,-0.9,72.8
SMA,20100103,74,1,25,953.6,0,441,-4.4,-6.5,-1,70.6
SMA,20100104,65,1,38,947.1,0,326,-6.1,-8.2,-2.9,79.2
SMA,20100105,22,1,96,938.5,1,0,-5.9,-7.5,-5,86.2
SMA,20100106,15,4,96,936.2,0.1,0,-3.9,-5.5,-2.3,84.8
SMA,20100107,57,3,75,941.7,0,189,-2.4,-4.6,-0.4,83.9
SMA,20100108,5,3,100,939.9,0.7,0,-3,-4,-2.2,85.6
SMA,20100109,4,3,100,938.3,2.3,0,-5.1,-5.8,-4.1,87.4
SMA,20100110,24,6,100,945.3,0,0,-4.9,-5.9,-4,79.6
SMA,20100111,20,5,100,949.1,3.2,0,-4.5,-5.9,-3.3,82.9
SMA,20100112,43,11,100,945.8,0,73,-3.4,-4.1,-2.4,87.3
SMA,20100113,23,11,100,941.3,2.7,0,-1.3,-3.5,0.9,91.8
SMA,20100114,34,12,92,941.2,0,1,0.2,-1.3,1.4,93.5
SMA,20100115,26,6,96,953.8,0,0,0.3,-0.6,1.4,85.9
SMA,20100116,42,6,92,953.6,5.6,16,-0.6,-2.2,2.8,83.5
SMA,20100117,48,4,88,954,0.3,116,4,1.2,7,79.5
SMA,20100118,64,0,63,959.6,0,167,2.6,-0.7,5.5,81.1
SMA,20100119,34,0,100,955.3,0,0,-1.9,-3.3,-0.6,93.6
SMA,20100120,33,0,96,949.5,3.4,6,-2.6,-3.8,-0.8,90.1
SMA,20100121,66,5,75,954.6,0.1,263,2.2,-0.9,5.6,87
SMA,20100122,56,0,63,956.5,0,127,0.9,-0.8,3.4,86.9
SMA,20100123,55,0,63,956,0,175,-1,-2.8,0.9,81
SMA,20100124,61,0,54,956,0.7,110,-1.2,-4,1.4,85.8
SMA,20100125,20,3,100,958.7,1.2,0,0.3,-0.6,1.4,91.5
SMA,20100126,26,1,100,961.8,2.9,0,-2.4,-5.6,0.5,85.3
SMA,20100127,33,6,100,958.6,1.2,0,-5.7,-7.2,-4,79.7
SMA,20100128,10,7,100,945.1,1.4,0,-2.1,-4,-0.8,83.1
SMA,20100129,28,7,100,930.2,3.4,0,-0.1,-1.2,2,80.8
SMA,20100130,66,10,63,930.4,1.4,110,-2,-4.6,0.6,78.3
SMA,20100131,34,12,88,941.4,1.9,19,-4.5,-6.3,-3.6,82.9
SMA,20100201,61,15,92,948.5,2,96,-3.8,-5.6,-2.3,78.8
SMA,20100202,59,18,96,952.1,0,51,-0.2,-2.8,2,62
SMA,20100203,45,13,88,949.1,1.4,66,3.7,1.6,6.5,70.2
SMA,20100204,101,6,63,948.5,0,441,1.8,-1,6.1,81.7
SMA,20100205,12,4,96,944.3,10.3,0,1.7,0.1,2.9,91
SMA,20100206,42,1,96,946.7,0.5,0,1.9,0.4,2.6,93.2
SMA,20100207,26,0,100,950.2,0.6,0,1.1,-1,2.2,89.7
SMA,20100208,40,0,67,941.3,0,0,-1.5,-2.9,-0.6,80.9
SMA,20100209,80,0,88,936,1.2,177,-1.8,-4.3,0.9,81
SMA,20100210,46,2,100,938.4,3.4,0,-4.6,-8.1,-1.7,84
SMA,20100211,56,9,92,937.6,0.3,0,-7,-9,-5.7,83.1
SMA,20100212,50,8,71,944.4,0.2,6,-5.9,-9,-4.5,81.1
SMA,20100213,64,8,88,946.3,0,23,-5.5,-9.3,-3,77
SMA,20100214,31,6,100,945.2,0,0,-4.1,-4.7,-3.6,72.6
SMA,20100215,79,6,58,941.5,0,186,-4.3,-7.1,-1.7,70.3
SMA,20100216,130,5,4,936.5,0,443,-4.2,-9.1,0.4,75.5
SMA,20100217,70,5,88,930.1,0,26,0,-2.7,5.2,74.5
SMA,20100218,57,4,75,934.7,0.4,65,3.2,-0.2,7.7,82.1
SMA,20100219,31,1,92,930.7,4,0,2,0.6,4.4,89.9
SMA,20100220,115,0,83,936.7,0,284,1.9,-0.4,5.3,64.9
SMA,20100221,141,0,33,937.6,0,429,2.5,-1,6.6,54.9
SMA,20100222,113,0,67,932.8,0.4,323,6,1.6,11.2,56.3
SMA,20100223,40,0,83,934.4,4.4,7,6.6,5.1,7.9,72.5
SMA,20100224,106,0,71,938.8,1,260,6.7,3.3,10.9,74.3
SMA,20100225,114,0,88,937.1,4.8,260,6.6,2.2,11.3,70.3
SMA,20100226,85,0,79,936.7,0.1,108,6.4,4.8,10,66
SMA,20100227,139,0,79,940.5,0,355,6.5,1.5,10.8,48.6
SMA,20100228,49,0,88,933.6,0.1,12,8.4,4.8,12.3,55.8
SMA,20100301,155,0,33,946.4,0.6,456,6.7,3.9,11,52.4
SMA,20100302,56,0,88,954.4,1.4,20,5.3,3.5,7.7,77.2
SMA,20100303,109,0,83,949.2,0,220,3.3,0.4,6.9,69.2
SMA,20100304,66,0,88,946.1,0.2,72,1.1,-0.8,3.7,65.5
SMA,20100305,131,0,63,956,0,313,-0.8,-2.8,2.3,45.8
SMA,20100306,58,0,88,952.2,6.2,37,-2.3,-5.3,0.5,75
SMA,20100307,144,10,63,954.5,0,297,-4.1,-6.3,-0.6,70.6
SMA,20100308,192,5,17,951.7,0,590,-4.6,-8.1,0.5,56.7
SMA,20100309,100,5,96,948.2,0,65,-5,-7.7,-2.4,59.4
SMA,20100310,94,3,96,946.2,2.2,52,-3,-5,-1,58.9
SMA,20100311,61,7,100,947.2,1.9,0,-2.7,-3.7,-1.8,87
SMA,20100312,144,8,54,952.3,0,310,-2,-3.8,1.6,78.9
SMA,20100313,138,4,54,958.4,0,175,-0.2,-5.3,4.4,70.2
SMA,20100314,66,3,100,959.6,0.1,0,1.3,-1.4,3.5,67.7
SMA,20100315,105,2,88,959.5,1.3,111,3,0.7,6.5,72.8
SMA,20100316,54,0,63,960.8,1.8,36,2.9,1,5.2,86
SMA,20100317,180,0,54,961.9,0,496,5,-1.1,11.9,65.6
SMA,20100318,175,0,83,959.3,0,499,9.6,3.6,15.6,40.5
SMA,20100319,200,0,46,956.7,0.4,478,11.7,6.6,17.6,38.7
SMA,20100320,69,0,96,952.7,5.1,3,11.3,9.1,15.1,66.8
SMA,20100321,87,0,92,953.7,5.9,60,10.4,8,14.6,85.4
SMA,20100322,142,0,83,955.8,0,184,9.9,7.1,14.6,77.5
SMA,20100323,216,0,38,953.7,0,650,10.4,5.3,16.5,69.9
SMA,20100324,221,0,33,948.3,0,658,11.7,4.9,18.9,59.8
SMA,20100325,195,0,83,944.8,0,417,14.5,8.6,21.3,41.5
SMA,20100326,74,0,67,945.5,5.4,235,8.3,5.3,14.8,69.7
SMA,20100327,167,0,79,946.4,6.5,249,7.1,3.6,12.5,75.8
SMA,20100328,73,0,100,950.1,5.9,20,7.3,5.4,10.3,84.6
SMA,20100329,154,0,79,943.7,0.2,243,10.6,6.5,16.3,72.9
SMA,20100330,125,0,54,935.2,2.2,277,9.3,4.8,16.2,70.2
SMA,20100331,161,0,46,941.8,6.4,377,6.5,3.6,10.1,63.3
SMA,20100401,88,3,88,949.3,4.2,69,2,0.1,6.4,87.8
SMA,20100402,231,0,46,950.5,0,534,4.6,-0.4,10.5,65.4
SMA,20100403,182,0,92,947.1,2.9,332,9,4.6,14.1,53.9
SMA,20100404,119,0,96,950.7,1.9,79,6.6,4.2,11.1,74.3
SMA,20100405,162,0,71,961,0,305,5.7,3.1,9.9,63.6
SMA,20100406,266,0,0,957.2,0,731,8.2,0.4,16.1,53.1
SMA,20100407,260,0,38,953.2,0,687,12,3.6,19.7,48.3
SMA,20100408,150,0,83,957.4,0,103,11.6,8.2,15.6,65.2
SMA,20100409,223,0,46,961.9,0,450,10.9,6.9,15.8,68.2
SMA,20100410,197,0,67,959.3,0,290,9.7,5.3,14.3,58.7
SMA,20100411,213,0,46,951.8,0,449,5.6,1.4,10.4,57.2
SMA,20100412,87,0,83,947.8,0,45,4.7,2.3,8.6,65.4
SMA,20100413,208,0,33,947.3,0,423,5.8,0.8,11.8,64.4
SMA,20100414,89,0,96,948.5,5.5,15,5.7,3.7,7.9,78.1
SMA,20100415,113,0,83,949.3,0.4,16,6.4,3.8,9.9,77.1
SMA,20100416,145,0,75,952.1,0,151,7.5,2.4,12.3,69.2
SMA,20100417,252,0,42,951.8,0,579,10.3,5.5,16.7,63.7
SMA,20100418,173,0,75,948.3,0.5,277,10.3,5.1,15.3,66.1
SMA,20100419,237,0,38,949.7,0.2,493,12.2,6.7,18.4,59.8
SMA,20100420,151,0,75,951.5,0.2,235,11.5,7.5,15.8,61.1
SMA,20100421,275,0,38,950.6,0,692,12.8,7.4,17.8,52.9
SMA,20100422,268,0,58,948.1,0,707,10.4,4.3,16.4,50.4
SMA,20100423,204,0,88,947,0,217,11.1,5.6,16.5,52
SMA,20100424,282,0,4,952.2,0,745,14.3,6.9,21.2,47
SMA,20100425,260,0,38,956.7,0.1,697,16.3,9,22.8,45.7
SMA,20100426,214,0,79,959.4,3.3,348,14.4,11.1,18.7,69.5
SMA,20100427,258,0,33,959.7,0,582,13.9,8.6,19.8,62
SMA,20100428,302,0,29,958.5,0,769,15.5,7.6,22.6,51.3
SMA,20100429,299,0,29,952.2,1.5,738,18.5,10.9,25.2,51
SMA,20100430,210,0,75,949.5,13,292,16.2,12.3,21.5,69.7
SMA,20100501,40,0,100,947.8,13.3,0,11.7,9.9,12.5,92.5
